customerID,jobID,bookingTime,vaTime,startX,startY,endX,endY
10000,AP0,01.12.2019 00:00,01.12.2019 00:00,327987.720,4689221.500,327987.720,4689221.500
10001,AP1,01.12.2019 00:03,01.12.2019 00:03,328309.728,4688502.300,327987.720,4689221.500
10002,AP2,01.12.2019 00:03,01.12.2019 00:03,331062.800,4691776.000,327025.370,4692269.600
10003,AP3,01.12.2019 00:03,01.12.2019 00:03,326623.670,4688997.100,326949.760,4687767.800
10004,AP4,01.12.2019 00:05,01.12.2019 00:05,330116.167,4690965.500,331118.900,4692214.800
10005,AP5,01.12.2019 00:06,01.12.2019 00:06,327278.461,4690623.500,328960.270,4690512.000
10006,AP6,01.12.2019 00:07,01.12.2019 00:07,327987.720,4689221.500,326623.670,4688997.100
10007,AP7,01.12.2019 00:09,01.12.2019 00:09,326322.517,4686410.800,325651.610,4686258.100
10008,AP8,01.12.2019 00:09,01.12.2019 00:09,327014.510,4690478.800,327488.102,4694058.900
10009,AP9,01.12.2019 00:10,01.12.2019 00:10,330116.167,4690965.500,330116.167,4690965.500
10010,AP10,01.12.2019 00:10,01.12.2019 00:10,327987.720,4689221.500,327091.950,4689281.400
10011,AP11,01.12.2019 00:11,01.12.2019 00:11,331062.800,4691776.000,330688.690,4692107.400
10012,AP12,01.12.2019 00:11,01.12.2019 00:11,327014.510,4690478.800,327790.230,4688472.900
10013,AP13,01.12.2019 00:12,01.12.2019 00:12,326623.670,4688997.100,327987.720,4689221.500
10014,AP14,01.12.2019 00:13,01.12.2019 00:13,328537.614,4688827.200,327987.720,4689221.500
10015,AP15,01.12.2019 00:14,01.12.2019 00:14,328619.300,4690347.700,329731.967,4688107.200
10016,AP16,01.12.2019 00:14,01.12.2019 00:14,326957.550,4689676.000,329731.967,4688107.200
10017,AP17,01.12.2019 00:17,01.12.2019 00:17,329816.162,4683560.000,329245.807,4683759.400
10018,AP18,01.12.2019 00:17,01.12.2019 00:17,330389.010,4691780.430,327381.910,4688674.100
10019,AP19,01.12.2019 00:20,01.12.2019 00:20,328960.270,4690512.000,330519.100,4689886.000
10020,AP20,01.12.2019 00:22,01.12.2019 00:22,329731.967,4688107.200,323206.710,4691683.300
10021,AP21,01.12.2019 00:23,01.12.2019 00:23,327091.950,4689281.400,326949.760,4687767.800
10022,AP22,01.12.2019 00:24,01.12.2019 00:24,331513.040,4690840.380,330519.100,4689886.000
10023,AP23,01.12.2019 00:26,01.12.2019 00:26,327987.720,4689221.500,327091.950,4689281.400
10024,AP24,01.12.2019 00:27,01.12.2019 00:27,326729.433,4693092.300,327381.910,4688674.100
10025,AP25,01.12.2019 00:28,01.12.2019 00:28,330116.167,4690965.500,331118.900,4692214.800
10026,AP26,01.12.2019 00:28,01.12.2019 00:28,328960.270,4690512.000,328529.270,4689502.700
10027,AP27,01.12.2019 00:31,01.12.2019 00:31,326623.670,4688997.100,327987.720,4689221.500
10028,AP28,01.12.2019 00:32,01.12.2019 00:32,327764.590,4692563.900,327987.720,4689221.500
10029,AP29,01.12.2019 00:34,01.12.2019 00:34,331312.951,4691022.000,330116.167,4690965.500
10030,AP30,01.12.2019 00:36,01.12.2019 00:36,330116.167,4690965.500,328173.403,4694189.500
10031,AP31,01.12.2019 00:39,01.12.2019 00:39,330116.167,4690965.500,329437.881,4691913.500
10032,AP32,01.12.2019 00:40,01.12.2019 00:40,326949.760,4687767.800,327677.480,4687584.000
10033,AP33,01.12.2019 00:40,01.12.2019 00:40,326949.760,4687767.800,327677.480,4687584.000
10034,AP34,01.12.2019 00:41,01.12.2019 00:41,330116.167,4690965.500,329437.881,4691913.500
10035,AP35,01.12.2019 00:42,01.12.2019 00:42,329245.807,4683759.400,329816.162,4683560.000
10036,AP36,01.12.2019 00:44,01.12.2019 00:44,327014.510,4690478.800,326657.415,4689074.700
10037,AP37,01.12.2019 00:45,01.12.2019 00:45,327987.720,4689221.500,327091.950,4689281.400
10038,AP38,01.12.2019 00:47,01.12.2019 00:47,331622.440,4690826.100,331062.800,4691776.000
10039,AP39,01.12.2019 00:50,01.12.2019 00:50,327381.910,4688674.100,327987.720,4689221.500
10040,AP40,01.12.2019 00:50,01.12.2019 00:50,326957.550,4689676.000,327987.720,4689221.500
10041,AP41,01.12.2019 00:51,01.12.2019 00:51,325472.470,4691000.100,327381.910,4688674.100
10042,AP42,01.12.2019 00:52,01.12.2019 00:52,330386.120,4690842.000,328960.270,4690512.000
10043,AP43,01.12.2019 00:52,01.12.2019 00:52,327014.510,4690478.800,327790.230,4688472.900
10044,AP44,01.12.2019 00:57,01.12.2019 00:57,326584.590,4687114.000,327054.145,4686960.910
10045,AP45,01.12.2019 00:59,01.12.2019 00:59,327091.950,4689281.400,327381.910,4688674.100
10046,AP46,01.12.2019 00:59,01.12.2019 00:59,328960.270,4690512.000,326949.760,4687767.800
10047,AP47,01.12.2019 00:59,01.12.2019 00:59,331632.330,4690082.600,329731.967,4688107.200
10048,AP48,01.12.2019 01:00,01.12.2019 01:00,331312.951,4691022.000,330519.100,4689886.000
10049,AP49,01.12.2019 01:00,01.12.2019 01:00,328641.360,4690542.500,328960.270,4690512.000
10050,AP50,01.12.2019 01:06,01.12.2019 01:06,326623.670,4688997.100,327987.720,4689221.500
10051,AP51,01.12.2019 01:07,01.12.2019 01:07,331005.950,4689466.200,330519.100,4689886.000
10052,AP52,01.12.2019 01:08,01.12.2019 01:08,329865.828,4690542.380,327381.910,4688674.100
10053,AP53,01.12.2019 01:08,01.12.2019 01:08,331062.800,4691776.000,328542.910,4689685.400
10054,AP54,01.12.2019 01:09,01.12.2019 01:09,329702.700,4684365.600,329196.538,4684090.800
10055,AP55,01.12.2019 01:10,01.12.2019 01:10,330116.167,4690965.500,328529.270,4689502.700
10056,AP56,01.12.2019 01:13,01.12.2019 01:13,327987.720,4689221.500,326623.670,4688997.100
10057,AP57,01.12.2019 01:13,01.12.2019 01:13,331632.330,4690082.600,329731.967,4688107.200
10058,AP58,01.12.2019 01:16,01.12.2019 01:16,328186.047,4690041.000,327987.720,4689221.500
10059,AP59,01.12.2019 01:17,01.12.2019 01:17,331632.330,4690082.600,329731.967,4688107.200
10060,AP60,01.12.2019 01:19,01.12.2019 01:19,329306.040,4690666.000,329731.967,4688107.200
10061,AP61,01.12.2019 01:19,01.12.2019 01:19,331005.950,4689466.200,329731.967,4688107.200
10062,AP62,01.12.2019 01:19,01.12.2019 01:19,327987.720,4689221.500,327381.910,4688674.100
10063,AP63,01.12.2019 01:20,01.12.2019 01:20,328897.606,4690719.600,328960.270,4690512.000
10064,AP64,01.12.2019 01:20,01.12.2019 01:20,327790.230,4688472.900,327987.720,4689221.500
10065,AP65,01.12.2019 01:21,01.12.2019 01:21,329816.162,4683560.000,329245.807,4683759.400
10066,AP66,01.12.2019 01:22,01.12.2019 01:22,327987.720,4689221.500,328537.614,4688827.200
10067,AP67,01.12.2019 01:24,01.12.2019 01:24,327014.510,4690478.800,324688.900,4690449.800
10068,AP68,01.12.2019 01:24,01.12.2019 01:24,326657.415,4689074.700,326322.517,4686410.800
10069,AP69,01.12.2019 01:25,01.12.2019 01:25,331632.330,4690082.600,329731.967,4688107.200
10070,AP70,01.12.2019 01:28,01.12.2019 01:28,325569.740,4693395.000,327381.910,4688674.100
10071,AP71,01.12.2019 01:28,01.12.2019 01:28,326949.760,4687767.800,328186.047,4690041.000
10072,AP72,01.12.2019 01:30,01.12.2019 01:30,328960.270,4690512.000,328186.047,4690041.000
10073,AP73,01.12.2019 01:30,01.12.2019 01:30,325379.680,4693395.600,327381.910,4688674.100
10074,AP74,01.12.2019 01:36,01.12.2019 01:36,329865.828,4690542.380,327987.720,4689221.500
10075,AP75,01.12.2019 01:36,01.12.2019 01:36,327987.720,4689221.500,328529.270,4689502.700
10076,AP76,01.12.2019 01:37,01.12.2019 01:37,327987.720,4689221.500,328309.728,4688502.300
10077,AP77,01.12.2019 01:38,01.12.2019 01:38,330116.167,4690965.500,328186.047,4690041.000
10078,AP78,01.12.2019 01:39,01.12.2019 01:39,326322.517,4686410.800,326284.370,4685962.900
10079,AP79,01.12.2019 01:40,01.12.2019 01:40,330727.120,4686305.500,325723.806,4693910.800
10080,AP80,01.12.2019 01:45,01.12.2019 01:45,326949.760,4687767.800,328309.728,4688502.300
10081,AP81,01.12.2019 01:49,01.12.2019 01:49,327987.720,4689221.500,328309.728,4688502.300
10082,AP82,01.12.2019 01:55,01.12.2019 01:55,329731.967,4688107.200,329702.700,4684365.600
10083,AP83,01.12.2019 01:55,01.12.2019 01:55,327381.910,4688674.100,328529.270,4689502.700
10084,AP84,01.12.2019 01:56,01.12.2019 01:56,327381.910,4688674.100,327987.720,4689221.500
10085,AP85,01.12.2019 01:57,01.12.2019 01:57,327987.720,4689221.500,327091.950,4689281.400
10086,AP86,01.12.2019 01:57,01.12.2019 01:57,327381.910,4688674.100,327987.720,4689221.500
10087,AP87,01.12.2019 01:58,01.12.2019 01:58,330116.167,4690965.500,326591.427,4690477.700
10088,AP88,01.12.2019 01:59,01.12.2019 01:59,327987.720,4689221.500,326957.550,4689676.000
10089,AP89,01.12.2019 02:00,01.12.2019 02:00,327381.910,4688674.100,327987.720,4689221.500
10090,AP90,01.12.2019 02:00,01.12.2019 02:00,331632.330,4690082.600,329731.967,4688107.200
10091,AP91,01.12.2019 02:01,01.12.2019 02:01,330904.495,4691196.400,330519.100,4689886.000
10092,AP92,01.12.2019 02:02,01.12.2019 02:02,329731.967,4688107.200,329702.700,4684365.600
10093,AP93,01.12.2019 02:03,01.12.2019 02:03,330116.167,4690965.500,326591.427,4690477.700
