customerID;jobID;bookingTime;vaTime;startX;startY;endX;endY
1;AP38403625;10.06.2016 07:40;10.06.2016 08:23;476721.00739925745;5552121.2335496545;475782.93202501023;5552016.397901411
2;AP38403680;10.06.2016 07:42;10.06.2016 07:46;476699.6038831655;5552266.995279104;476630.2519570003;5552886.6089515565
3;AP38404872;10.06.2016 08:13;10.06.2016 08:18;476180.5303598623;5553046.2078139605;476838.09849200683;5552134.4781770725
4;AP38405419;10.06.2016 08:24;10.06.2016 08:28;476149.5174231225;5553174.247008868;475683.3258179706;5551936.527942845
5;AP38406503;10.06.2016 08:47;10.06.2016 08:51;476278.51517733786;5553066.719292736;476742.9197582402;5553372.890454564
6;AP38406665;10.06.2016 08:51;10.06.2016 08:56;475865.2695577267;5553034.893347697;476743.5711562975;5553351.80619764
7;AP38406695;10.06.2016 08:51;10.06.2016 08:54;475867.32675516175;5553015.637229037;476811.028205778;5553386.7705783555
8;AP38407116;10.06.2016 09:02;10.06.2016 09:20;475862.8903047228;5553734.939263645;475904.4608700528;5553457.645903124
9;AP38407145;10.06.2016 09:02;10.06.2016 09:12;476522.14763784246;5552256.009188416;476722.7610062792;5553368.753189237
10;AP38408751;10.06.2016 09:49;10.06.2016 10:21;476530.26535798033;5552438.979076344;476731.17420726153;5553349.314024489
